,UserName,StarRatings,ReviewTitle,ReviewText,ReviewTime
10,Lisa,5.0 out of 5 stars,"Great product, but don't recommend buying online","  I LOVE this product for my rosacea prone skin. I recently tried to deviate to skinceutical spf, after using this for years, and broke out horribly. I ran to my closest derm to buy the EltaMD again.I did buy this ONCE on Amazon (quite a while ago) and I got something that did not look like the product. It was the same texture, but kind of yellowish. That bottle, like one of the previous posters showed, did not have an expiration stamp. The bottles usually do have an expiration stamp on the bottom.So, I still give it 5 stars for exceptional performance on sensitive skin and great sun protection, but recommend buying it in person, just to make sure you're getting the product you expect.I decided to reach out recently to ask EltaMD about buying online (I was having difficulty locating it locally). Here's what EltaMD recently told me about Amazon being an authorized seller, dated 9/10/19.""Thank you for contacting EltaMD.All EltaMD products listed on amazon.com after 5/8/17 through a recent business agreement are authorized. Amazon now sells only authentic EltaMD products they purchase directly from us.However, we strongly encourage you to consider purchasing from an authorized physician or online resellers that are physician-owned or operated businesses. They are knowledgeable about EltaMD products and can help you select the right regimen for your skin type. To find a physician near you, go to the following link Where to Buy. For online ordering, we authorize the following websites: Dermstore, Lovely Skin, and Skin Care RX.EltaMD Consumer CareSarah"""," September 11, 2019"
11,SK,1.0 out of 5 stars,Deceiving with ingredients,"  I bought this and loved using it until I realized that it contained Octinoxate, which is a dangerous ingredient in skincare for women. This ingredient is NOT highlighted on the product information area on this site and only shows it on the bottle listed on the back. I will no longer be using this product, unfortunately. I wish more people knew about this dangerous ingredient, especially when it is in a product that we use on our skin DAILY for protection. Please change your product information so that this ingredient is mentioned! Please consider changing your formula so that it can be a better product."," September 17, 2020"
12,Gabby,3.0 out of 5 stars,why I am extremely satisfied: 1,"  I emailed EltaMD regarding the validity of the product, here is their response as of yesterday, 9/22/15I give it 3 stars because of my skepticism, but I love the product I have received, assuming it's legitimate."," March 24, 2015"
13,Remo,3.0 out of 5 stars,"UVA(which causes aging, wrinkle. . .) protection DOUBTFUL","  I use to love this product and have been using it religiously for the last 7 years. However recently I came across company based in Canada called The Sunscreen Company who claims to have sent the products out for third party testing and ELTA MD spf 46 performed poorly in UVA protection factor values. UVA rays are responsible for aging and wrinkles. Since I love the product and wanted to continue using it, I emailed ELTA MD for re-assurance but never got a response from them.Personally, I am inclined to trust the 3rd party findings because micronized zinc (like that used in EltaMD) inherently does not offer strong UVA protection, especially when included in such a low concentration (which is only one factor of the entire formulation process that contributes to final protection values). I’d love for EltaMD to perform testing and refute the data here, because I do want to go back to using their elegant formulas, but until then, I don’t have faith they offer good uva protection."," January 2, 2021"
14,Hoang Chi Truong. Author,5.0 out of 5 stars,My Go-to Morning and all-day sunscreen!,"  I've been using this product for two years and will not be without it for my morning routine. I carry one in my purse for driving (sun exposure) and reapply throughout the day if I leave the house or buildings. I'm nearly 60 y.o. and Asian. I used to have sun damaged age spots but since using this sunscreen, most faded and keeping my skin smooth.Be sure to reapply religiously every two hours and wear a wide brim hat. I also started to use it on the back of my hands to prevent more spots from forming.It's barely scented and pleasant. Easy to apply and not oily or sticky. It's easy to absorb and not chalky or leaving any unpleasant feel or reaction. My skin is not sensitive and has always been on a light to medium tone, depending on the seasons.I recommend it to women of my age. And by the way, drink a lot of water and wear a hat whenever possible. I also don't lay out in the sun to tan either. I think that helps."," April 6, 2021"
15,Eugene,1.0 out of 5 stars,why is your face so white??,"  it's difficult to give 1 star reviews but i felt like i had to write it just to get my opinion heard on this lotion.  for UV protection i would say it's like most face sunscreens out there, my face did not break out nor did it get red.  I have rosacea, oily skin, and very sensitive skin! (a killer combination i know).the big problem i have is that is leaves your face WHITE! I've tried to put a liberal amount and a small amount.  I tried using this only during the day, in combination with other lotions, after a toner.  But it's still unbelievable white.  Perhaps it would be better for light/fair skinned individuals, but i'm pretty tan so it looks like i put a layer of white out on my face.  The final straw was when my classmate told me, ""Why is your face so white??""  Pretty embarrassing, and having acne is embarrassing enough.Maybe this is more of a rant than a review, but if you like have your face looking like a ghost, by all means get this product.  But if you have a tan/darker skinned complexion, i would stay away."," June 17, 2017"
16,Amazon Customer,4.0 out of 5 stars,casket-ready finish,"  This is an excellent mineral sunscreen, but it WILL leave an obvious white cast on dark skin (I'm an NW44). There are some reviewers here who claim that it doesn't-- either they're not using the correct amount (1/4 teaspoon for the face) or they're lighter skinned than I am. Another thing is that it is quite drying and does leave a sheen on the skin once it has set-- this is easily corrected with a light dusting of powder (and it primes makeup beautifully) but you can't leave the house without it."," May 16, 2016"
17,Jenifer N. Wiand,1.0 out of 5 stars,I was sent fake product,"  I have used EltaMD Sunscreen for over 2 years. I love this product. I like how it goes on, doesn't feel sticky or greasy AND provides strong SPF protection. This product is regularly WHITE and a creamy consistency with no real odor. The last 2 orders of this product have been YELLOW, a different consistency and an altogether different product.Color, smell, consistency have all changed. I've researched to see if the product changed, but I haven't found anything. All I can surmise is that I was sold fake product.What I ordered is NOT what I received, and I won't be ordering fake product on here again. I'll go directly to the manufacturer's website.Sad. I now have 2 bottles that I'll never use due to subscribe and save order receipt timing. The REAL product is great, but that's not what I was sold the last 2 times. Packaging is correct. Product is fake!! BEWARE!!! No one likes paying for Medical grade skincare and not receiving it!"," October 3, 2021"
18,Betty,1.0 out of 5 stars,Oxybenzone is killing off the coral reefs. This formula contains Oxybenzone.,"  This product contains two ingredients we know to be killing the coral reefs. They're found in many sunscreens: Octinoxate, and Oxybenzone. This sunscreen contains the latter.  Even if you don't care about the environment (and why not? you do live here!) you probably aren't a fan of hurricanes, tropical storms, and the resulting floods. Coral reefs protect our shoes from erosion, mitigating the damage these storms, storms increasing in frequency and intensity. Please skip this sunscreen, and others containing the ingredients Octinoxate or Oxybenzone."," September 2, 2019"
19,Rich D.,1.0 out of 5 stars,Found the culprit,"  My skin is acne-prone and dehydrated thanks to Tazorac. After cutting out dairy, I finally figured out why Tazorac could not keep me completely clear... EltaMD UV Clear. What was supposed to help combat the side effects of Tazorac actually impeded its effects.EltaMD UV Clear causes clogged pores on my forehead and chin, and I typically get cystic acne on my chin because of it.I have decided to halt Tazorac and all actives for now to let my skin barrier heal while I try to find a sunscreen that will not break me out."," April 9, 2018"
20,Periwinkle,1.0 out of 5 stars,It.  Pills.  Always.,"  I’ve ordered and used this all-mineral spf product twice now.  The pros:  It does not sting my rosacea-prone skin, nor does it leave much of a white cast.  The cons:  It does leave my skin shiny and has a slight odor which I do not like (it fades quickly).  The worst issue is the pilling.  Not sometimes.  Always.  If I don’t rub it in just so and try to massage in a white streak, it pills.  If I touch my face or neck, it pills. If I try to gently dust some powder on to mitigate the shine, it pills.  The best sunscreen is one you like to use every day.  This is not it."," June 3, 2019"
21,WeeT,3.0 out of 5 stars,"Expensive. No white cast, not gritty/tacky/greasy. Leaves skin moisturized.","  Update 5/28/18:I initially gave this product 5 stars because it truly is a great product. However I did have to update my review due to the amount of product for the price I paid. This bottle of sunscreen contains 1.7 oz of product. For sunscreen application on the face, it is recommended that you use at least half a teaspoon worth (just for your face alone, not your neck). That half a teaspoon is about 0.083 oz per application. So the bottle can last you 20 applications, not days, applications (since it's recommended you apply every 2 to 3 hours). To pay more than 30 bucks for less than a month's worth of usage seems to be really pricey.//Pleasantly surprised with this sunscreen. I live in Arizona and I know for a fact that I haven't been using as much sunscreen as I should have. The problem was that it was always so tacky, greasy, left a white cast, and irritated my skin. I've been using this sunscreen for at least a week now, and it wasn't irritating to my sensitive skin at all.  It applies easily. It's not watery but has a consistency of a thicker moisturizer. There's an initial cast as you are spreading the sunscreen evenly, but it goes away quite quickly. Sometimes I run into the issue with a gritty feeling left over after I apply sunscreen, I didn't have that issue with this one. It left my skin feeling plump and allowed me to apply my tinted moisturizer/make up after without any issues. I have oily/combo skin and this did not increase my sebum production at all, so that's definitely a plus.The recommended amount of sunscreen to apply to one's face is half a teaspoon (just the face), so this bottle is on the smaller size for what it costs.I had tried this sunscreen on the recommendation of a well-known influencer but had been debating between a more cost-effective (but seemingly just as good alternative). Missha's waterproof Sun Milk is a great contender with this sunscreen, for almost half the price! I'll see how the two compare."," May 21, 2018"
22,PelonPeloRico,1.0 out of 5 stars,Contains Octinoxate!!,"  This says it is a mineral sunscreen, but in fact it contains 7.5% Octinoxate. (See photo.) If you, like me, are trying to buy mineral sunscreens (zinc oxide, titanium dioxide) to avoid chemicals that can be absorbed through your skin, then do not buy!(This product does feel amazing on your skin and doesn't leave a white residue...but that's because it's actually partially a chemical sunscreen, not a mineral one. There are plenty of chemical sunscreens that feel nice on your skin.)"," August 11, 2020"
23,deb,1.0 out of 5 stars,High hopes but unfortunately not for me,"  I can't bash this product completely because it may be very effective for someone else.  I've had a sensitivity to sunscreens for the last two years or so. The only brand that hasn't left me with blotchy, rashy skin is my Cera Ve with InvisibleZinc - but if you've used it before then you know that if you use a ""liberal"" amount... you still end up looking a bit dead or like a wanna-be clown.  I had high hope for this sunscreen.  ""UV Clear"" and ""Safe for sensitive skin and rosacea."" I received it in the morning, washed, moisturized, applied this sunscreen and went about my day.  By bedtime, I noticed a bit of blotchiness and a slight itch.  When I woke up in the morning my face was beet-red, slightly puffy, hot, burning/tingling and itchy as all hell.  I look and feel like I have a sunburn.SO - unfortunately not for me.  As I write this I'm contemplating putting an ice pack on my face...  UPDATE:  I did read more about one of Elta's active ingredients, Octinoxate and some of the adverse reactions are contact dermatitis, rash, dry skin, inflammation... blah blah blah...  My reaction was quite severe.  If you happen to have sensitive skin be careful.  I guess it's back to Cera Ve and the half-dead look for me (laughing)."," April 20, 2020"
24,Lauren,2.0 out of 5 stars,Terrible,"  If you are debating on getting this, get the drmtlgy spf 45 instead!! Do your research first. This product bills and balls up so bad even with one simple moisturizer on underneath. Even without a moisturizer on, still balled up, so never mind re-applying. Can’t do anything with this sunscreen. I ordered the drmtlgy one instead and it doesn’t pill, almost identical ingredients, it’s cheaper and you get 2 oz of product. So yeah this is just all around not good I can’t believe the hype this product gets."," January 23, 2021"
25,Allison Hamm,2.0 out of 5 stars,"No breakouts, but I didn't like it","  After reading hundreds of reviews and trying several different ""sensitive"" face sunscreens, I bit the bullet and decided to try this although it's a little pricey. I'm the type who won't wear sunscreen if it feels as all greasy or heavy, even though I'm fair and know I need to. It just grosses me out. Most that I've tried -- Pür, Sun Bum, Aveeno Sensitive, Super Goop (the original cream formula) -- make me break out in little whiteheads. So I've been on a search for one that I would actually use for quite some time. Here's my take on this one:- It's fairly smooth and lightweight, and feels fine on my face. But it left my fingers sticky, and if I put it on parts of my body that I touch throughout the day (backs of hands, neck, shoulders, etc.), it leaves a tacky/sticky feeling. Hate it.- It rubs in well (so no white cast), and has not made me break out at all -- this is fairly impressive.- The finish is not matte, but gives my face that oily sheen that I hate. No, no, no.- Worst of all, it is not ""unscented."" I mean, it doesn't have an intentional scent, but it smells vaguely like... a hospital. It's not pleasant. The smell goes away after 20 minutes or so and I can endure, but it's pretty icky at first.So, I'll use the rest of the bottle because it was expensive and doesn't make my face break out and I'm trying to be a responsible adult and wear my sunscreen, but it's not for me -- will not be re-purchasing."," August 23, 2020"
26,speesea,5.0 out of 5 stars,BEST sunscreen!,"  I have been wearing sunscreen on my face everyday for about 7 years now. I've tried a lot different sunscreens and hated pretty much everything I tried. It either left a white cast, burned my skin and eyes, pilled up immediately, or was horrible under makeup. This sunscreen is not only good - but I actually enjoy wearing it!I love almost everything about this sunscreen... my only complaint being it sometimes pills if I try to add anything on top of it. Other than that - the texture, the feel, the smell, I love. It is super rich and creamy to touch and feels very moisturizing when you apply to the face. It leaves a bit of shine but you can pat it out when it has dried. The container pumps the perfect amount each time - I use one pump for my face, neck, and ears.I also have VERY acne prone skin and this has not broken me out. I has almost no acne causing ingredients - the exception being Zinc Oxide and Butylene Glycol which are both only 1 (out of 10) on the acne causing scale [source cosdna]. It has actually improved the quality / texture since adding it to my routine.150% recommend"," April 7, 2019"
27,Kantu,1.0 out of 5 stars,White cast. Not for me.,"  It gives me a white cast. I’m not sure why exactly but I look like a ghost even after rubbing it in for a few minutes. Dermatologist says to use two lines worth, on the index and middle finger. Maybe people aren’t using that amount. But even when I use like half that, it still has a white powder look on my face. Just not as much.BUT, this is supposed to be good for darker skin. It’s better than the Aveeno one I tried, by far. So try it. Could just be me, because I’ve seen good reviews on this one from darker complexion people. I’m going to try the Olay one next. I tried first aid beauty, but I got the tinted one by recommendation, and that was a definite no for me. It just gets everywhere and separates the tint from the sunscreen so it’s not even.  And transfers to my hands and shirt if they touch my face or next, or arms. That was pretty bad for me.On to Olay in the red bottle(I have it saved but forgot the name)."," April 29, 2021"
28,Boodle,1.0 out of 5 stars,I Don't Understand!,"  I have purchased this sunscreen many times before.  I recently read the list of sunscreen ingredients to avoid and this one contains one: octinoxate.  So, for a while I tried some purely mineral sunscreens but they felt too heavy so I thought I would come back to this one because I love the weight and the texture--and read that the very small amounts of octinoxate contained in the sunscreen MAY not be problematic anyway.  With this last purchase, however, my skin broke out immediately, and worse than when I was a teenager (I'm 53). It was just awful.  I don't know if there's something wrong with this particular one but I've never had a problem with this kind of Elta sunscreen before.  I'm sadly sending it back."," March 16, 2021"
29,Kendall,5.0 out of 5 stars,Great for acne prone skin,"  This product is amazing for sensitive and acne-prone skin. I have had issues in the past with sunscreens breaking me out and with Elta MD I have no worries. I have been using it for about a month now per my aesthetician. I have noticed I did go through a purge but that wasn't the only new product I was testing so it could have been a combination of the two. Now after using it a month I have noticed my skin is more hydrated (it does give you a glow) honestly some days I will just put this on and go out the door, it gives you a dewy look. Also, it goes on white but turns clear as you rub it in. I have not seen any white cast after using it. Honestly, it's so amazing you don't even need a primer before makeup, I use one but some days I skip it and there is not much of a difference. This product is worth it and I will cont. to buy it. It also has no smell and the pump on it works amazing and pumps out so smoothly. 10/10"," February 19, 2020"
30,Ebiz8,5.0 out of 5 stars,Excellent product and NO WHITECAST ON DARK SKIN!,"  I have sensitive oily skin and hormonal acne. I am a brown-skinned black woman and this facial sunscreen is a godsend! It’s so hard for women with brown skin to find a sunscreen that won’t leave a whitecast or turn us grey! And the tinted ones are never our color tint. Along with my particular skin issues I thought I’d never find a good sunscreen but this product is the answer. Now that I’ve used it for a few months I can see that it does improve the quality of my skin and it seems to be reducing my blemishes slightly too though I can’t be completely  sure of the latter only because I use other products to lighten blemishes as well. I use my regular moisturizer under this product and I’ve never used it alone so I can’t say whether or not it moisturizes particularly well, but like I said, I have oily skin so it’d be hard to tell if it didn’t.  This product has never irritated my skin or been problematic in any way. It has a lovely, very light clean smell that reminds me of baby products. This will now be a regular staple in my skincare regime."," November 21, 2019"
31,JKLA,5.0 out of 5 stars,Finally a sunscreen I can use daily,"  This is different than any other product I have ever tried.  I have hyper-pigmented Asian skin that has always been sensitive to sunscreens.  I used to avoid wearing any because I'd break out and then have dark blemishes for months afterwards.  I figured it was better to put up with the hyper pigmentation and freckles than to deal with pore clogging sunscreens.  But no more!  Elta MD absorbs so quickly into the skin and is silky smooth unlike traditional sunscreens that leave a white sheen till it's absorbed. The bottle says the zinc oxide is microionized which might be why it feels so different.  I plan on using this product before and after IPL treatment since it hasn't caused any reaction with my skin except make it look more radiant and clear.  Highly recommend for acne, sun-damaged, blemished, mid-age skin."," January 29, 2017"
32,rashmi mohanty,1.0 out of 5 stars,This is 2nd time that the pump does not work ...,  This is 2nd time that the pump does not work.I had to break the top to get to the cream and use my fingers to get the cream.," November 20, 2015"
33,M Norris,1.0 out of 5 stars,Pills up on Skin,"  I am a very fair-skinned individual, and have tried numerous sunscreens over the years. After hearing so much about Elta, I decided to give it a try. It may act as a great sunscreen, but that is completely overshadowed by how badly this pills up on skin. I have tried using different moisturizers underneath, to using no moisturizer, but no matter what, this pills up. I end up having to rub my face to get all the pilled-up product off, and then apply a different sunscreen afterwards. So disappointing. Definitely not worth the money, and Biore and LaRoche-Posay offer better and more affordable sunscreens that don't pill."," December 30, 2020"
34,Ellie,4.0 out of 5 stars,actually better than any primer I've tried,"  I have acne-prone skin that is very oily but can also be dry and flaky because I use tretinoin cream. I can have dry skin flaking off while my face is still covered in a sheen of oil. Lucky me, right? I prefer to utilize physical sunscreen, so I appreciate that this contains zinc oxide and only one chemical sunscreen. It does not leave a white cast on my face. This sunscreen is not very greasy, as far as sunscreens go. An unexpected bonus that I've discovered is that it actually seems to make my skin less oily during the day, actually better than any primer I've tried. It does not cause me to break out. It is decently moisturizing compared to most other physical sunscreens I've tried. However, during the winter I still need to sometimes add a more heavy duty moisturizer to some flaky areas. I use this as my everyday face sunscreen -- I cannot attest to its quality if used as a beach/sport sunscreen.-1 star because it is so expensive for such a small amount. But luckily it does last for a while even with daily use."," February 3, 2018"
35,Patilu,5.0 out of 5 stars,"No white cast, no sensitivity, improving dark spots","  Life changing product. No white cast on bare skin or under foundation and much better results with prescription HYDROQUINONE/retinoid mix. Absolutely no sensation on skin or eyes.I use warm color foundations in light to medium beige range and get no white cast and use plenty of product.I noticed a positive change in results of skin lightening in 2 days. IPL and 6% HYDROQUINONE were giving me middling results as I get older. This product is helping me get results I got when I was younger. I have sensitive skin and eyes and have no problems with Elta.I've used various sunblocks, including LaRoche Posay physical and chemical. ELTA MD is far superior."," October 30, 2018"
36,Hailey,2.0 out of 5 stars,Not my favorite,"  I bought this because everyone raves about it. I have dry, sensitive, acne prone skin. I was looking for a non tinted mineral sunscreen that wouldn’t leave a white cast. This does not leave an obvious cast, so based on that alone - 5 stars. However, this product pills so bad. I have tried every combination of application. Over moisturizer, over a different moisturizer (initially thinking it just didn’t work well with my daily cream) and alone. Every time it pilled. If I am able to apply it without pulling, as soon as I touch my face or neck, or try to reapply, it pills. For the price, I don’t see a difference between this and Cerave daily spf 30 moisturizer. The cerave one has an almost identical color/texture/smell/pilling issue and is almost half the price. So I would recommend trying the cerave first and if you can make that work for you, then consider investing in this product. But if the cerave doesn’t work for you than this likely won’t either."," September 7, 2021"
37,lovespuppies,3.0 out of 5 stars,irritating,"  Pros: NO white cast, not greasy at all. It dries down completely and leaves you with a shine/glow, but not greasy or oily.Cons: It stings a little for me, perhaps it's the niacinamide or lactic acid. When I first put it on I get really red, then it goes away. I also got a few little pimples the first week I used it. I also had some dryness and tightness for about a week, then my skin adjusted to the lighter formula.I have been using EltaMD sunscreens exclusively this summer and have ultimately been disappointed. This one especially because it's so expensive. I do not burn or come even close when I use this brand, but it did not save me from getting new freckles. Maybe that means the UVB protection is superior to the UVA? Bottom line I don't think this is worth the price."," September 28, 2018"
38,Nam Truong,2.0 out of 5 stars,"Pills horribly, flakes and clumps off","  I only added a second star because the ingredients are so good. But.. the pilling, omg the pilling. I do not understand how so many people like this, or why Dr Dray and others recommend. I tried it so many different ways... heavy application, light application, medium, light product with a silicone underneath, only moisturizer underneath, nothing underneath. Each and every time it pills and rubs off right away. Like as I was applying, and with the slightest touch of my face afterward. It rubs off in little disgusting clumps. I’m returning tomorrow. Howwww is this so popular."," May 13, 2021"
39,karyn,4.0 out of 5 stars,2 weeks using EltaMD UV Clear Facial Sunscreen Broad-Spectrum SPF 46,"  Overall is good.Pros: Is light weight, it absorbs fast, no white cast, you only needs a small amount, is mattifying but not drying, it is fine under makeup.Cons: If you apply other mattifying products before the sunscreen it will peel off AWFUL. For example I always do my skincare routine with 3 drops of niacinamide 10% from the ordinary + 1 pump of mattifying hydrator from Dr. Brandt then sun protection, and with EltaMD UV Clear Facial Sunscreen all the products peel off as soon as the sunscreen dries.I tried to prevent this by:1.- Reducing the amount of previous products I put on, it didn't work.2.- Waiting more time between layer to let them dry better. Didn't work.3.- Using only the sunscreen. It worked4.- Not using other mattifying products. It worked.So the product is good but it has a texture issue with other mattifying products.Another cons, for me, is that 1 pump is a lot of product, I only user half a pump, is more that enough.I will continue using this product but I don't think I will buy it again. I will continue my search of the perfect sunscreen for me."," September 23, 2020"
40,Alex C,5.0 out of 5 stars,"Worth Trying, Great Quality!","  I got this based off numerous articles online recommending this for sensitive/rosacea prone skin. I believe everyone’s skin reacts differently and with face products you just have to go through the pain of testing. My derm no longer carries this, but derms that so may have sample sizes for free before you buy. After using this for a few weeks, I really like it. I have tried numerous mineral sunscreens and this works best under makeup. I am olive skin toned, and the fairest I’ve ever been after the pandemic, and it doesn’t leave much cast on me. If I tan some and notice this, I will update my review. The sunscreen rubs on very smooth, unlike some mineral ones that feel like grainy and uncomfortable to rub on. I think it is very moisturizing and don’t put moisturizer on with this, even though I am fighting dry skin. I have worn this to a pool with a hat, while on skin treatment that makes me more prone to sun sensitive skin, and I didn’t get any color/redness (but I reapplied faithfully). I think this product is definitely worth trying to see if it is a match for you if you are looking for a new daily sunscreen. Best of luck!"," June 27, 2021"
41,AseaNoe,5.0 out of 5 stars,Does just what it says!,"  My dermatologist suggested this to me. I have tried tons of sunscreen... TONS, all price points and all brands. I prefer physical blockers but they never mesh with my makeup, make me so greasy (and I'm already oily/combo), or leave a ghostly white cast on my deep brown skin. This absorbs easily, has no strong fragrance, plays well with makeup and moisturize, is still effective is Houston summer heat and humidity, and doesn't trigger my adult acne. I haven't had issues with the pump, I like that I can pump out a lot or a little but. It is not clear - it does leave a slight white cast on my skin, however It does dissipate and I always use at least powder to make my skin more even and absorb the oilies."," August 6, 2017"
